ITEM,COST,QUANTITY,CATEGORY
Carlsberg Green,1200,0,Standard
Castel,1200,0,Standard
Kuche Kuche,1200,0,Standard
Doppel,1200,0,Standard
Chill,1500,0,Standard
Special Brew,1200,0,Standard
Hunters Dry,2500,0,Standard
Hunters Gold,2500,0,Standard
Savannah Dry,2500,0,Standard
Heinken,3000,0,Standard
Brutal Fruit,3500,0,Standard
Castel Lite,2500,0,Standard
Windhoek Larger,3000,0,Standard
Budweiser,3000,0,Standard
Brezzer,2500,0,Standard
Miller,3500,0,Standard
Flying Fish,2500,0,Standard
Stella,2500,0,Standard
Corona,2500,0,Standard
Jameson,1000,0,Non standard
Amarula,1000,0,Non standard
Jack Daniel,1000,0,Non standard
